Age,Height,Weight,IR,PAC,SHO,PAS,DRI,DEF,PHY,Hits,Joined_Year,Contract_End,Best Position_CB,BMI,OVA
0.68,0.22499999999999964,0.42500000000000004,5,0.85,0.92,0.91,0.95,0.38,0.65,0.09167758066436481,2004,2021,0,0.5983979238754329,93
0.7600000000000001,0.6499999999999995,0.7000000000000002,5,0.89,0.93,0.81,0.89,0.35,0.77,0.06679366591260864,2018,2022,0,0.5050737796333893,92
0.44000000000000006,0.6749999999999998,0.8000000000000003,3,0.87,0.92,0.78,0.9,0.52,0.9,0.017740207167519943,2014,2023,0,0.5747708239022185,91
0.5199999999999999,0.5,0.375,4,0.76,0.86,0.93,0.88,0.64,0.78,0.024526729372544354,2015,2023,0,0.317469704831965,91
0.4800000000000001,0.34999999999999964,0.3250000000000002,5,0.91,0.85,0.86,0.94,0.36,0.59,0.07072270508393858,2017,2022,0,0.3837853061224492,91
0.6,0.5750000000000002,0.625,4,0.78,0.91,0.78,0.85,0.43,0.82,0.0294082628884391,2014,2023,0,0.4966918714555766,91
0.4800000000000001,0.34999999999999964,0.40000000000000013,3,0.93,0.86,0.81,0.9,0.45,0.75,0.029170139302297893,2017,2023,0,0.46137877551020434,90
0.44000000000000006,0.75,0.8999999999999999,3,0.86,0.88,0.85,0.89,0.51,0.91,0.014168353375401833,2018,2024,0,0.6008531838491271,90
0.19999999999999996,0.4249999999999998,0.4500000000000002,3,0.96,0.86,0.78,0.91,0.39,0.76,0.19037980711989522,2018,2022,0,0.44999999999999996,90
0.4800000000000001,0.6499999999999995,0.75,3,0.88,0.85,0.88,0.9,0.45,0.88,0.015358971306107869,2014,2022,0,0.5503767622751579,90
0.4800000000000001,0.7999999999999998,0.9250000000000003,3,0.76,0.6,0.71,0.71,0.91,0.86,0.03809977378259317,2018,2023,1,0.5813800370479747,90
0.4800000000000001,0.34999999999999964,0.3500000000000001,3,0.94,0.85,0.8,0.9,0.44,0.76,0.022383617097273486,2016,2023,0,0.4096497959183676,90
0.4800000000000001,0.5999999999999996,0.7250000000000001,3,0.65,0.73,0.76,0.72,0.86,0.91,0.020716751994285035,2013,2023,0,0.5690876552227904,89
